Community,Task,Field,Value
C26236 - Rivington SF (26236),1st Production Foundation Start,Assignee,1202453112366854
C26236 - Rivington SF (26236),1st Production Foundation Start,Due On,2023-03-06
C26236 - Rivington SF (26236),1st Production Foundation Start,CIP-Milestone,*
C26236 - Rivington SF (26236),1st Production Foundation Start,CIP-Team,Operations
C26236 - Rivington SF (26236),1st Production Foundation Start,CIP-Line ID,P1103.C
C26237 - Rivington TH (26237),ID Property,Assignee,1202483398164627
C26237 - Rivington TH (26237),ID Property,Due On,2022-11-09
C26237 - Rivington TH (26237),ID Property,CIP-Milestone,*
C26237 - Rivington TH (26237),ID Property,CIP-Team,"Architecture, Land Acq"
C26237 - Rivington TH (26237),ID Property,CIP-Line ID,P1000.C
C26237 - Rivington TH (26237),Submit for Model Permit,Assignee,1199128502925200
C26237 - Rivington TH (26237),Submit for Model Permit,Due On,2022-12-26
C26237 - Rivington TH (26237),Submit for Model Permit,CIP-Milestone,*
C26237 - Rivington TH (26237),Submit for Model Permit,CIP-Team,Construction
C26237 - Rivington TH (26237),Submit for Model Permit,CIP-Line ID,P1066.C
C26237 - Rivington TH (26237),Plan Approval,Assignee,1202453112366854
C26237 - Rivington TH (26237),Plan Approval,Due On,2023-01-02
C26237 - Rivington TH (26237),Plan Approval,CIP-Milestone,*
C26237 - Rivington TH (26237),Plan Approval,CIP-Team,Architecture
C26237 - Rivington TH (26237),Plan Approval,CIP-Line ID,P1010.C
C26237 - Rivington TH (26237),Begin Bid Process,Assignee,1202584680648809
C26237 - Rivington TH (26237),Begin Bid Process,Due On,2023-01-09
C26237 - Rivington TH (26237),Begin Bid Process,CIP-Milestone,*
C26237 - Rivington TH (26237),Begin Bid Process,CIP-Team,Purchasing
C26237 - Rivington TH (26237),Begin Bid Process,CIP-Line ID,P1011.C
C26237 - Rivington TH (26237),Contract Signed,Assignee,1202483398164627
C26237 - Rivington TH (26237),Contract Signed,Due On,2023-01-16
C26237 - Rivington TH (26237),Contract Signed,CIP-Milestone,*
C26237 - Rivington TH (26237),Contract Signed,CIP-Team,Legal
C26237 - Rivington TH (26237),Contract Signed,CIP-Line ID,P1083.C
C26237 - Rivington TH (26237),LD Start,Assignee,1199128502925200
C26237 - Rivington TH (26237),LD Start,Due On,2023-01-30
C26237 - Rivington TH (26237),LD Start,Start On,2023-01-23
C26237 - Rivington TH (26237),LD Start,CIP-Milestone,*
C26237 - Rivington TH (26237),LD Start,CIP-Team,Land Dev
C26237 - Rivington TH (26237),LD Start,CIP-Line ID,P1086.C
C26237 - Rivington TH (26237),Energize Site (Site Hot),Assignee,1199128502925200
C26237 - Rivington TH (26237),Energize Site (Site Hot),Due On,2023-02-03
C26237 - Rivington TH (26237),Energize Site (Site Hot),Start On,2023-01-31
C26237 - Rivington TH (26237),Energize Site (Site Hot),CIP-Milestone,*
C26237 - Rivington TH (26237),Energize Site (Site Hot),CIP-Team,Land Dev
C26237 - Rivington TH (26237),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26237 - Rivington TH (26237),Model Start,Assignee,1199128502925200
C26237 - Rivington TH (26237),Model Start,Due On,2023-02-06
C26237 - Rivington TH (26237),Model Start,CIP-Milestone,*
C26237 - Rivington TH (26237),Model Start,CIP-Team,Construction
C26237 - Rivington TH (26237),Model Start,CIP-Line ID,P1030.C
C26237 - Rivington TH (26237),Open for Sale,Assignee,1202584680648809
C26237 - Rivington TH (26237),Open for Sale,Due On,2023-02-13
C26237 - Rivington TH (26237),Open for Sale,CIP-Milestone,*
C26237 - Rivington TH (26237),Open for Sale,CIP-Team,Sales
C26237 - Rivington TH (26237),Open for Sale,CIP-Line ID,P1029.C
C26237 - Rivington TH (26237),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26237 - Rivington TH (26237),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26237 - Rivington TH (26237),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26237 - Rivington TH (26237),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26237 - Rivington TH (26237),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26237 - Rivington TH (26237),Start Production,Assignee,1199128502925200
C26237 - Rivington TH (26237),Start Production,Due On,2023-02-27
C26237 - Rivington TH (26237),Start Production,CIP-Milestone,*
C26237 - Rivington TH (26237),Start Production,CIP-Team,Construction
C26237 - Rivington TH (26237),Start Production,CIP-Line ID,P1032.C
C26237 - Rivington TH (26237),1st Production Foundation Start,Assignee,1202453112366854
C26237 - Rivington TH (26237),1st Production Foundation Start,Due On,2023-03-06
C26237 - Rivington TH (26237),1st Production Foundation Start,CIP-Milestone,*
C26237 - Rivington TH (26237),1st Production Foundation Start,CIP-Team,Operations
C26237 - Rivington TH (26237),1st Production Foundation Start,CIP-Line ID,P1103.C
C26244 - Fox Pointe Master (26244),ID Property,Assignee,1202483398164627
C26244 - Fox Pointe Master (26244),ID Property,Due On,2022-11-09
C26244 - Fox Pointe Master (26244),ID Property,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),ID Property,CIP-Team,"Architecture, Land Acq"
C26244 - Fox Pointe Master (26244),ID Property,CIP-Line ID,P1000.C
C26244 - Fox Pointe Master (26244),Submit for Model Permit,Assignee,1199128502925200
C26244 - Fox Pointe Master (26244),Submit for Model Permit,Due On,2022-12-26
C26244 - Fox Pointe Master (26244),Submit for Model Permit,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Submit for Model Permit,CIP-Team,Construction
C26244 - Fox Pointe Master (26244),Submit for Model Permit,CIP-Line ID,P1066.C
C26244 - Fox Pointe Master (26244),Plan Approval,Assignee,1202453112366854
C26244 - Fox Pointe Master (26244),Plan Approval,Due On,2023-01-02
C26244 - Fox Pointe Master (26244),Plan Approval,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Plan Approval,CIP-Team,Architecture
C26244 - Fox Pointe Master (26244),Plan Approval,CIP-Line ID,P1010.C
C26244 - Fox Pointe Master (26244),Begin Bid Process,Assignee,1202584680648809
C26244 - Fox Pointe Master (26244),Begin Bid Process,Due On,2023-01-09
C26244 - Fox Pointe Master (26244),Begin Bid Process,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Begin Bid Process,CIP-Team,Purchasing
C26244 - Fox Pointe Master (26244),Begin Bid Process,CIP-Line ID,P1011.C
C26244 - Fox Pointe Master (26244),Contract Signed,Assignee,1202483398164627
C26244 - Fox Pointe Master (26244),Contract Signed,Due On,2023-01-16
C26244 - Fox Pointe Master (26244),Contract Signed,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Contract Signed,CIP-Team,Legal
C26244 - Fox Pointe Master (26244),Contract Signed,CIP-Line ID,P1083.C
C26244 - Fox Pointe Master (26244),LD Start,Assignee,1199128502925200
C26244 - Fox Pointe Master (26244),LD Start,Due On,2023-01-30
C26244 - Fox Pointe Master (26244),LD Start,Start On,2023-01-23
C26244 - Fox Pointe Master (26244),LD Start,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),LD Start,CIP-Team,Land Dev
C26244 - Fox Pointe Master (26244),LD Start,CIP-Line ID,P1086.C
C26244 - Fox Pointe Master (26244),Energize Site (Site Hot),Assignee,1199128502925200
C26244 - Fox Pointe Master (26244),Energize Site (Site Hot),Due On,2023-02-03
C26244 - Fox Pointe Master (26244),Energize Site (Site Hot),Start On,2023-01-31
C26244 - Fox Pointe Master (26244),Energize Site (Site Hot),CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Energize Site (Site Hot),CIP-Team,Land Dev
C26244 - Fox Pointe Master (26244),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26244 - Fox Pointe Master (26244),Model Start,Assignee,1199128502925200
C26244 - Fox Pointe Master (26244),Model Start,Due On,2023-02-06
C26244 - Fox Pointe Master (26244),Model Start,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Model Start,CIP-Team,Construction
C26244 - Fox Pointe Master (26244),Model Start,CIP-Line ID,P1030.C
C26244 - Fox Pointe Master (26244),Open for Sale,Assignee,1202584680648809
C26244 - Fox Pointe Master (26244),Open for Sale,Due On,2023-02-13
C26244 - Fox Pointe Master (26244),Open for Sale,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Open for Sale,CIP-Team,Sales
C26244 - Fox Pointe Master (26244),Open for Sale,CIP-Line ID,P1029.C
C26244 - Fox Pointe Master (26244),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26244 - Fox Pointe Master (26244),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26244 - Fox Pointe Master (26244),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26244 - Fox Pointe Master (26244),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26244 - Fox Pointe Master (26244),Start Production,Assignee,1199128502925200
C26244 - Fox Pointe Master (26244),Start Production,Due On,2023-02-27
C26244 - Fox Pointe Master (26244),Start Production,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),Start Production,CIP-Team,Construction
C26244 - Fox Pointe Master (26244),Start Production,CIP-Line ID,P1032.C
C26244 - Fox Pointe Master (26244),1st Production Foundation Start,Assignee,1202453112366854
C26244 - Fox Pointe Master (26244),1st Production Foundation Start,Due On,2023-03-06
C26244 - Fox Pointe Master (26244),1st Production Foundation Start,CIP-Milestone,*
C26244 - Fox Pointe Master (26244),1st Production Foundation Start,CIP-Team,Operations
C26244 - Fox Pointe Master (26244),1st Production Foundation Start,CIP-Line ID,P1103.C
C26245 - Fox Pointe Interior (26245),ID Property,Assignee,1202483398164627
C26245 - Fox Pointe Interior (26245),ID Property,Due On,2022-11-09
C26245 - Fox Pointe Interior (26245),ID Property,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),ID Property,CIP-Team,"Architecture, Land Acq"
C26245 - Fox Pointe Interior (26245),ID Property,CIP-Line ID,P1000.C
C26245 - Fox Pointe Interior (26245),Submit for Model Permit,Assignee,1199128502925200
C26245 - Fox Pointe Interior (26245),Submit for Model Permit,Due On,2022-12-26
C26245 - Fox Pointe Interior (26245),Submit for Model Permit,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Submit for Model Permit,CIP-Team,Construction
C26245 - Fox Pointe Interior (26245),Submit for Model Permit,CIP-Line ID,P1066.C
C26245 - Fox Pointe Interior (26245),Plan Approval,Assignee,1202453112366854
C26245 - Fox Pointe Interior (26245),Plan Approval,Due On,2023-01-02
C26245 - Fox Pointe Interior (26245),Plan Approval,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Plan Approval,CIP-Team,Architecture
C26245 - Fox Pointe Interior (26245),Plan Approval,CIP-Line ID,P1010.C
C26245 - Fox Pointe Interior (26245),Begin Bid Process,Assignee,1202584680648809
C26245 - Fox Pointe Interior (26245),Begin Bid Process,Due On,2023-01-09
C26245 - Fox Pointe Interior (26245),Begin Bid Process,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Begin Bid Process,CIP-Team,Purchasing
C26245 - Fox Pointe Interior (26245),Begin Bid Process,CIP-Line ID,P1011.C
C26245 - Fox Pointe Interior (26245),Contract Signed,Assignee,1202483398164627
C26245 - Fox Pointe Interior (26245),Contract Signed,Due On,2023-01-16
C26245 - Fox Pointe Interior (26245),Contract Signed,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Contract Signed,CIP-Team,Legal
C26245 - Fox Pointe Interior (26245),Contract Signed,CIP-Line ID,P1083.C
C26245 - Fox Pointe Interior (26245),LD Start,Assignee,1199128502925200
C26245 - Fox Pointe Interior (26245),LD Start,Due On,2023-01-30
C26245 - Fox Pointe Interior (26245),LD Start,Start On,2023-01-23
C26245 - Fox Pointe Interior (26245),LD Start,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),LD Start,CIP-Team,Land Dev
C26245 - Fox Pointe Interior (26245),LD Start,CIP-Line ID,P1086.C
C26245 - Fox Pointe Interior (26245),Energize Site (Site Hot),Assignee,1199128502925200
C26245 - Fox Pointe Interior (26245),Energize Site (Site Hot),Due On,2023-02-03
C26245 - Fox Pointe Interior (26245),Energize Site (Site Hot),Start On,2023-01-31
C26245 - Fox Pointe Interior (26245),Energize Site (Site Hot),CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Energize Site (Site Hot),CIP-Team,Land Dev
C26245 - Fox Pointe Interior (26245),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26245 - Fox Pointe Interior (26245),Model Start,Assignee,1199128502925200
C26245 - Fox Pointe Interior (26245),Model Start,Due On,2023-02-06
C26245 - Fox Pointe Interior (26245),Model Start,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Model Start,CIP-Team,Construction
C26245 - Fox Pointe Interior (26245),Model Start,CIP-Line ID,P1030.C
C26245 - Fox Pointe Interior (26245),Open for Sale,Assignee,1202584680648809
C26245 - Fox Pointe Interior (26245),Open for Sale,Due On,2023-02-13
C26245 - Fox Pointe Interior (26245),Open for Sale,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Open for Sale,CIP-Team,Sales
C26245 - Fox Pointe Interior (26245),Open for Sale,CIP-Line ID,P1029.C
C26245 - Fox Pointe Interior (26245),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26245 - Fox Pointe Interior (26245),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26245 - Fox Pointe Interior (26245),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26245 - Fox Pointe Interior (26245),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26245 - Fox Pointe Interior (26245),Start Production,Assignee,1199128502925200
C26245 - Fox Pointe Interior (26245),Start Production,Due On,2023-02-27
C26245 - Fox Pointe Interior (26245),Start Production,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),Start Production,CIP-Team,Construction
C26245 - Fox Pointe Interior (26245),Start Production,CIP-Line ID,P1032.C
C26245 - Fox Pointe Interior (26245),1st Production Foundation Start,Assignee,1202453112366854
C26245 - Fox Pointe Interior (26245),1st Production Foundation Start,Due On,2023-03-06
C26245 - Fox Pointe Interior (26245),1st Production Foundation Start,CIP-Milestone,*
C26245 - Fox Pointe Interior (26245),1st Production Foundation Start,CIP-Team,Operations
C26245 - Fox Pointe Interior (26245),1st Production Foundation Start,CIP-Line ID,P1103.C
C26247 - Fox Pointe Riverfront (26247),ID Property,Assignee,1202483398164627
C26247 - Fox Pointe Riverfront (26247),ID Property,Due On,2022-11-09
C26247 - Fox Pointe Riverfront (26247),ID Property,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),ID Property,CIP-Team,"Architecture, Land Acq"
C26247 - Fox Pointe Riverfront (26247),ID Property,CIP-Line ID,P1000.C
C26247 - Fox Pointe Riverfront (26247),Submit for Model Permit,Assignee,1199128502925200
C26247 - Fox Pointe Riverfront (26247),Submit for Model Permit,Due On,2022-12-26
C26247 - Fox Pointe Riverfront (26247),Submit for Model Permit,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Submit for Model Permit,CIP-Team,Construction
C26247 - Fox Pointe Riverfront (26247),Submit for Model Permit,CIP-Line ID,P1066.C
C26247 - Fox Pointe Riverfront (26247),Plan Approval,Assignee,1202453112366854
C26247 - Fox Pointe Riverfront (26247),Plan Approval,Due On,2023-01-02
C26247 - Fox Pointe Riverfront (26247),Plan Approval,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Plan Approval,CIP-Team,Architecture
C26247 - Fox Pointe Riverfront (26247),Plan Approval,CIP-Line ID,P1010.C
C26247 - Fox Pointe Riverfront (26247),Begin Bid Process,Assignee,1202584680648809
C26247 - Fox Pointe Riverfront (26247),Begin Bid Process,Due On,2023-01-09
C26247 - Fox Pointe Riverfront (26247),Begin Bid Process,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Begin Bid Process,CIP-Team,Purchasing
C26247 - Fox Pointe Riverfront (26247),Begin Bid Process,CIP-Line ID,P1011.C
C26247 - Fox Pointe Riverfront (26247),Contract Signed,Assignee,1202483398164627
C26247 - Fox Pointe Riverfront (26247),Contract Signed,Due On,2023-01-16
C26247 - Fox Pointe Riverfront (26247),Contract Signed,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Contract Signed,CIP-Team,Legal
C26247 - Fox Pointe Riverfront (26247),Contract Signed,CIP-Line ID,P1083.C
C26247 - Fox Pointe Riverfront (26247),LD Start,Assignee,1199128502925200
C26247 - Fox Pointe Riverfront (26247),LD Start,Due On,2023-01-30
C26247 - Fox Pointe Riverfront (26247),LD Start,Start On,2023-01-23
C26247 - Fox Pointe Riverfront (26247),LD Start,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),LD Start,CIP-Team,Land Dev
C26247 - Fox Pointe Riverfront (26247),LD Start,CIP-Line ID,P1086.C
C26247 - Fox Pointe Riverfront (26247),Energize Site (Site Hot),Assignee,1199128502925200
C26247 - Fox Pointe Riverfront (26247),Energize Site (Site Hot),Due On,2023-02-03
C26247 - Fox Pointe Riverfront (26247),Energize Site (Site Hot),Start On,2023-01-31
C26247 - Fox Pointe Riverfront (26247),Energize Site (Site Hot),CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Energize Site (Site Hot),CIP-Team,Land Dev
C26247 - Fox Pointe Riverfront (26247),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26247 - Fox Pointe Riverfront (26247),Model Start,Assignee,1199128502925200
C26247 - Fox Pointe Riverfront (26247),Model Start,Due On,2023-02-06
C26247 - Fox Pointe Riverfront (26247),Model Start,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Model Start,CIP-Team,Construction
C26247 - Fox Pointe Riverfront (26247),Model Start,CIP-Line ID,P1030.C
C26247 - Fox Pointe Riverfront (26247),Open for Sale,Assignee,1202584680648809
C26247 - Fox Pointe Riverfront (26247),Open for Sale,Due On,2023-02-13
C26247 - Fox Pointe Riverfront (26247),Open for Sale,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Open for Sale,CIP-Team,Sales
C26247 - Fox Pointe Riverfront (26247),Open for Sale,CIP-Line ID,P1029.C
C26247 - Fox Pointe Riverfront (26247),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26247 - Fox Pointe Riverfront (26247),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26247 - Fox Pointe Riverfront (26247),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26247 - Fox Pointe Riverfront (26247),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26247 - Fox Pointe Riverfront (26247),Start Production,Assignee,1199128502925200
C26247 - Fox Pointe Riverfront (26247),Start Production,Due On,2023-02-27
C26247 - Fox Pointe Riverfront (26247),Start Production,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),Start Production,CIP-Team,Construction
C26247 - Fox Pointe Riverfront (26247),Start Production,CIP-Line ID,P1032.C
C26247 - Fox Pointe Riverfront (26247),1st Production Foundation Start,Assignee,1202453112366854
C26247 - Fox Pointe Riverfront (26247),1st Production Foundation Start,Due On,2023-03-06
C26247 - Fox Pointe Riverfront (26247),1st Production Foundation Start,CIP-Milestone,*
C26247 - Fox Pointe Riverfront (26247),1st Production Foundation Start,CIP-Team,Operations
C26247 - Fox Pointe Riverfront (26247),1st Production Foundation Start,CIP-Line ID,P1103.C
C26249 - FS at Lake Harris Master (26249),ID Property,Assignee,1202483398164627
C26249 - FS at Lake Harris Master (26249),ID Property,Due On,2022-11-09
C26249 - FS at Lake Harris Master (26249),ID Property,CIP-Milestone,*
C26249 - FS at Lake Harris Master (26249),ID Property,CIP-Team,"Architecture, Land Acq"
C26249 - FS at Lake Harris Master (26249),ID Property,CIP-Line ID,P1000.C
C26249 - FS at Lake Harris Master (26249),Submit for Model Permit,Assignee,1199128502925200
